,,,,,,,,,
"
Table F.
U.S. Bankruptcy Courts—Bankruptcy Cases Commenced, Terminated and Pending
During the 12-Month Periods Ending June 30, 2024 and 2025",,,,,,,,,
"Circuit 
and 
District",Filed,,,Terminated,,,Pending,,
,2024,2025,"Percent
Change ¹",2024,2025,"Percent
Change ¹",2024,2025,"Percent
Change ¹"
Total,"486,613","542,529",11.5,"482,133","526,880",9.3,"664,647","679,644",2.3
DC,445,469,5.4,391,428,9.5,486,520,7.0
     1st,"11,824","13,550",14.6,"11,955","13,740",14.9,"20,177","20,004",-0.9
ME,541,638,17.9,616,727,18.0,696,607,-12.8
MA,"4,332","4,847",11.9,"4,281","4,898",14.4,"4,969","4,934",-0.7
NH,832,962,15.6,853,"1,003",17.6,910,867,-4.7
RI,825,"1,053",27.6,893,"1,025",14.8,863,892,3.4
PR,"5,294","6,050",14.3,"5,312","6,087",14.6,"12,739","12,704",-0.3
     2nd,"24,002","26,104",8.8,"23,433","25,048",6.9,"21,906","22,938",4.7
CT,"3,167","3,512",10.9,"3,145","3,562",13.3,"2,776","2,729",-1.7
"NY,N","3,565","3,752",5.2,"3,541","3,844",8.6,"4,582","4,494",-1.9
"NY,E","10,373","10,716",3.3,"9,802","9,906",1.1,"6,376","7,172",12.5
"NY,S","4,547","5,325",17.1,"4,491","5,208",16.0,"4,865","4,966",2.1
"NY,W","2,123","2,526",19.0,"2,201","2,263",2.8,"2,975","3,237",8.8
VT,227,273,20.3,253,265,4.7,332,340,2.4
     3rd,"27,736","29,659",6.9,"27,052","30,259",11.9,"40,700","39,908",-1.9
DE,"2,760","2,683",-2.8,"2,167","2,377",9.7,"4,876","5,183",6.3
NJ,"13,311","13,534",1.7,"12,889","14,429",11.9,"16,767","15,743",-6.1
"PA,E","4,297","5,089",18.4,"4,586","5,056",10.2,"7,087","7,121",0.5
"PA,M","3,131","3,694",18.0,"3,149","3,575",13.5,"5,074","5,141",1.3
"PA,W","4,222","4,644",10.0,"4,257","4,815",13.1,"6,863","6,696",-2.4
VI,15,15,0.0,4,7,-,33,24,-27.3
     4th,"38,451","42,348",10.1,"39,304","42,523",8.2,"62,282","62,086",-0.3
MD,"10,516","11,572",10.0,"9,864","10,677",8.2,"12,359","13,248",7.2
"NC,E","4,157","4,931",18.6,"4,429","4,512",1.9,"9,483","9,902",4.4
"NC,M","2,007","2,007",0.0,"2,530","2,688",6.2,"4,774","4,075",-14.6
"NC,W","2,040","2,292",12.4,"2,128","2,392",12.4,"4,105","4,015",-2.2
SC,"4,484","4,801",7.1,"4,731","5,052",6.8,"8,898","8,652",-2.8
"VA,E","10,695","11,703",9.4,"10,806","11,987",10.9,"15,712","15,429",-1.8
"VA,W","2,954","3,388",14.7,"3,285","3,686",12.2,"5,349","5,052",-5.6
"WV,N",646,712,10.2,632,657,4.0,689,742,7.7
"WV,S",952,942,-1.1,899,872,-3.0,913,971,6.4
